id,title,release_date,overview,vote_average,vote_count,popularity,original_language
315317,Primorsky Boulevard,1988-06-06,"The events of the movie take place in the city of Odessa. A guy named Sasha sees a beautiful girl on the street and, following her, inadvertently causes a car crash. The driver of the car turns out to be none other than this girl's father, who is also a screenplay writer currently experiencing a writer's block. Instead of demanding money from Sasha for repairs to his vehicle, the writer makes Sasha tell him all the details of his new relationship with the girl he saw on the street, not knowing that this girl (Lena) is his own daughter. To make things more complex, Lena has a younger sister Dasha who begins to like Sasha.",6.7,12,0.1194,ru
951971,Jay Blades: Learning to Read at 51,2022-01-26,"Jay Blades, presenter of The Repair Shop, has decided it’s finally time to learn to read. He has been told he has the reading age of an 11-year-old. Throughout his life he has found ways of avoiding the written word, and this film digs deep into how this has shaped him.",7.0,2,0.1144,en
327911,Flowers,2015-02-01,"An abstract, surreal horror film centering on six dead women waking up in the crawl space below their killer's house.",5.0,18,0.3033,en
243670,Capital Games,2013-07-12,"Take two ambitious men, one top LA advertising firm, add a competition for the same high ranking job. Tough ex-LAPD cop, Steve Miller quit police to work in the calm environment of a business office. Mark Richfield, the glamorous new kid in the office, soon wins favor with the big boss and co-workers causing Steve to cringe in jealousy. After a crazy night in the Santa Fe desert Steve becomes torn between passionate love and passionate hatred. Steve and Mark endure agonizing decisions that will affect their lives forever.",5.5,21,0.1508,en
728619,The Three Musketeers: Pilot Episode - The Man in the Iron Mask,1987-03-05,Based on The Three Musketeers by Alexandre Dumas.,9.75,2,0.1161,ja
374387,Siegfried,1987-03-09,The eponymous Zygfryd is a reclusive young circus acrobat. Professor Drawicz is overwhelmed by Zygfryd's circus act and tries to make the world of art accessible to him - with tragic consequences.,5.3,6,0.1891,pl
326494,Desh Premee,1982-04-23,"Master Dinanth (Amitabh Bachchan) is a freedom fighter and led the war against the British in 1942 and eventually won the independence in 1947. But after independence, the people's love for their country seems to be diminishing and they are too busy betraying it like rich businessman Thakur Pratab Singh (Amjad Khan). Masterji finds out about Thakur Pratab Singh's illegal activities such as smuggling of weapons and ammunition and gets him arrested. In revenge for putting him in prison, Pratab Singh gets Masterji's wife Bharati (Sharmila Tagore) and daughter Priti (Parveen Babi) kidnapped by Thakur's partner in crime Sher Singh (Kader Khan) to try and change his ways but to no avail. Thakur also provokes an attack on Masterji's home by the local villagers who accuse Dinanath of betraying his country and he is forced to flee his home with his young son Raju. His wife becomes a victim of leprosy and escapes from Sher Singh leaving her daughter Priti in a friend's care.",4.3,6,0.491,hi
452376,The Undergrads,1985-05-05,"An elderly man discovers that his son wants to put him in an old-age home. However, the old man's grandson refuses to allow it, and the man and his grandson wind up becoming roommates at the boy's college dorm.",3.5,2,0.2048,en
378833,Sicque! Sicque! Sicque!,1966-09-23,"During an investigation at the Château de Vincennes, Sergeant Deux Deux clumsily drinks a swig of the formula of a mad scientist and therefore transforms as Mr. Hyde, in routines, goes torturing the Inspector.",7.0,1,0.0481,en
381811,Eros Ramazzotti & Friends - Live From Munich,1998-07-04,"Eros Ramazzotti & Friends - Live in concert  July 5, 1998 Königsplatz, München, Germany. Guests: Joe Cocker & Tina Turner",10.0,1,0.0796,it
140343,Shiver,2012-04-21,"Wendy Alden, a young secretary in Portland lacking in self- confidence becomes victim of a savage killer who has claimed the lives of a number of other women. Somehow Wendy finds the resources of courage to fight back and escape.",3.839,28,0.4665,en
58835,Atomic Alert,1951-05-01,Frightening civil defense procedure film aimed at Cold War-era elementary school students.,6.0,1,0.0071,en
631955,Vuelo 300,1950-12-31,Institutional short film about Aerolíneas Argentinas.,5.0,1,0.1488,es
28884,Viejos Fracasos,1977-01-02,"Les Luthiers is a comedy-musical group from Argentina, very popular also in several other Spanish-speaking countries such as Paraguay, Peru, Chile, Ecuador, Spain, Colombia, Mexico, Uruguay and Venezuela. They were formed in 1967 by Gerardo Masana, during the height of a period of very intense Choral Music activity in Argentina's state universities.",4.2,2,0.1691,es
737288,La Verónica,2022-07-13,"Veronica, a popular social media model married to an international soccer star, falls out of favor when she discovers she is the prime suspect in the investigation into the murder of her first daughter ten years ago. Faced with the pressure of the investigation, her marriage is on the verge of breaking up and she begins to feel jealous of Amanda, her newborn daughter.",6.0,8,0.5935,es
136181,Schön ist die Liebe am Königssee,1961-01-19,,6.0,2,0.092,de
3028,Jekyll and Hyde... Together Again,1982-11-10,"While conducting a research experiment intended to bring about an alternative to modern surgery, exhausted Los Angeles surgeon Dr. Daniel Jekyll falls asleep and accidentally inhales the white powders, transforming him into a wildly uninhibited nymphomaniac.",5.1,19,0.4014,en
387476,Torrent of Desire,1969-11-06,"David (Qiao Zhuang) and Mona (Yu Qian) are a spoiled brother-and-sister duo who carelessly use the family fortune to while away their time. David's friend Hanming (Yang Fan) introduces him to the lovely Danfeng (Jenny Wu), and despite Hanming's quiet infatuation with her, David moves in quickly. David and Danfeng get married, but lasting bliss is not in the cards. Mona develops a serious case of jealousy against Danfeng for snatching her brother AND being the object of Hanming's affection. Her barbed tongue and feminine wiles prove powerful enough to sow seeds of discord among the quartet of friends and lovers. Can this wicked web of love, lust and jealousy end happily for anyone?",5.0,2,0.3121,zh
82011,A cavallo della tigre,2002-11-08,"Plagued by financial problems, ne'er-do-well Guido ends up in jail after faking an armed robbery at his workplace. A year later, just a few days before his release, he's forced by two dangerous inmates to take part in their jailbreak. On the run, Guido sets out to find his partner Antonella, who helped him with the robbery and still has the money.",5.375,8,0.1428,it
772750,Simplemente una rosa,1971-12-18,,6.333,6,0.2945,es
331051,Spores,2011-11-11,Young friends encounter monstrous aliens at an old Russian factory.,7.5,2,0.0168,ru
627063,Nocturnal,2020-09-18,"Laurie, a cynical schoolgirl, builds a secret friendship with Pete, an older handyman who is obsessed with her.",5.9,18,0.4618,en
123283,Marilyn in Manhattan,1998-09-05,An exclusive look at Marilyn Monroe just before her tragic end. Set in New York City in the 50's - It's a surprising documentary that captures the movie legend as she runs with Broadway pals from the Actors Studio.,7.5,3,0.217,en
285776,Iceland Fishermen,1924-10-10,Faithfully reproduced observations of Breton fisherfolk in story of the man a local woman really loves who will not at first give himself to her because of his fondness for the sea that takes him away.,6.7,3,0.104,fr
27367,Mrs. Miniver,1942-07-03,"Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF.",7.1,263,1.2532,en
407417,"Sun, Moon and Star: Part 2",1961-12-30,"Part 1 ended with Jianbai and Su Yanan among the students fleeing the invading Japanese. Part 2 follows the efforts of all four characters to participate in the war effort. Su Yanan joins the army and fights. Jianbai enlists to be near her. A-Lan becomes a nurse at a battlefront hospital and Qiuming entertains the troops. (Grace Chang, Cathay's leading musical star at the time, performs some rousing patriotic numbers in these scenes.) Jianbai is reunited with Su in the battlefield, but...",5.7,3,0.1857,zh
369633,A Work in Progress,2002-12-14,"Combining both worlds of traditional live-action and CG, this short film follows the vivid imagination of a lonely girl as she searches for a friend. A Work in Progress received a Student Academy Award in the Animation Category.",4.7,3,0.1294,en
215367,Kudumbasree Travels,2011-01-21,"Aravindan has finally found a Nangyar Koothu performer, Aswathy, to marry. She stays in Cochin. Aravindan with his family and friends embark on a voyage from their tiny village to the city in a tourist bus called Kudumbasree Travels. Will they make to the wedding before the auspicious time?",2.5,3,0.0979,ml
443396,The Twin Pawns,1919-03-18,"A drama about twin sisters Daisy and Violet, who grow up unaware of each other's existence, one with their wealthy father and the other with their poor mother. The two sisters are manipulated by a criminal.",5.7,3,0.0843,en
647804,Le Grand Mezze,2002-09-29,,4.0,1,0.1212,fr
338178,Una notte da paura,2012-01-01,,4.0,4,0.0718,it
388214,Barbie Dance Club,1989-01-01,"Dance along to six hot songs written exclusively for Barbie. learn to do the Barbie dance from Paula Abdul (yes, Paula herself). She takes you step by easy step...you'll love it! Try to guess the winners in the dance contest! See Barbie doll in her own music videos and sizzling fashion show video! Watch interviews with the Barbie Dance Club D.J. It's all right here on home video! So put on your dancin' shoes and join the fun!",7.5,2,0.1379,en
19139,Goal III: Taking on the World,2009-06-22,"Mexican footballer Santiago Muñez, along with his best friends and England national team players Charlie Braithwaite and Liam Adams, are selected for their respective national teams at the 2006 FIFA World Cup Finals in Germany.",3.978,205,0.68,en
128184,Trash,2009-11-03,Trash tells the story of several characters that transport us to a social reality that is reflected in our personal relationships: the current culture of disposable relationships.,3.6,5,0.3726,es
482727,Being Bucky,2009-04-04,Seven students participate in the time-honored tradition of performing as mascot Bucky Badger at the University of Wisconsin during the 2007-2008 school year.,8.0,1,0.0214,en
587744,Irving Park,2019-03-10,"IRVING PARK is the story of four gay men in their 60s who live together in Chicago, exploring an unconventional lifestyle of master/slave relationships. A family based on free choice and the consent to lose one’s personal freedom in favor of the desire of the Other.",2.0,1,0.0989,en
242044,"The Dumb Die Fast, The Smart Die Slow",1991-01-01,"While breaking into a house, Tuang kills the owner and escapes, while Salak is caught. On his way to court, Salak escapes. In a small town, Boonpreng offers Salak a ride and then a job at his gas station. All goes well until Boonpreng's wife discovers Salak's past and blackmails him into breaking into her husband's safe to steal his money. Tuang's car breaks down at the gas station where he discovers Salak and works his way into the already tense situation.",6.5,4,0.25,th
36850,A New Leaf,1971-03-11,"After running out of funds, Henry Graham, a carefree playboy, plots to marry and murder wealthy botanist Henrietta Lowell.",7.251,171,0.5177,en
476351,You Are My Love,1957-09-17,"Farid is forced to marry his cousin, Yasmina, after their uncle leaves them a big inheritance, provided that the two get married. They decide to get married on paper and separate after receiving the inheritance, but during the honeymoon in Aswan,they fall in love with each other.",7.5,2,0.2143,ar
504720,Graal,1980-07-25,"The film Graal goes (as well as all the films which precede it) toward an open and avowed paganism, in which pagan force and magic imbue all the subjects at all times. (...) This is not about ""the"" Holy Grail and its legend but about the concept of the Grail, taken in a larger sense as a universal archetype: abbreviation, metaphor of the cosmos. In fact, achievement. That is what the Grail is: the achievement's completion.",3.0,2,0.0398,fr
677999,Malandro (True Magic),2009-01-01,Mexican feature film,5.0,2,0.0,en
774054,The Minimalists: Less Is Now,2021-01-01,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.,6.222,135,0.2871,en
114771,Serpent of the Nile,1953-05-08,Cleopatra toys with Mark Antony who wants to merge his Rome with her Egypt.,7.0,5,0.2551,en
19912,The Final Destination,2009-08-26,A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.,5.6,3427,50.2599,en
708689,Resistance Is Futile - Assimilating Star Trek: The Next Generation,2013-04-30,This newly-produced documentary reveals the challenges in producing TNG's groundbreaking third season. All-new cast and crew interviews reveal the drastic changes to the creative and writing staff which led to the series' major turning point with the arrival of new show-runner Michael Piller. Also features an in-depth look at the making of the season's most popular episodes including THE BEST OF BOTH WORLDS.,1.0,1,0.0577,en
643901,Beef Cattle,1979-01-01,"Thomas, in his forties, holds an important post in a slaughterhouse. He is engaged to Marie-Rose, the daughter of the director, whom he hopes to follow later. In a routine examination in the hospital, however, he finds out that he has cancer and his days are counted. The upheaval that he suffers as a result, however, does not take long, his decision is certain: he will use the short time to clean up some bad guys. What else can he do now?",3.8,4,0.3454,nl
769200,"""Petersilia"" Boarding School",1931-09-25,,6.0,1,0.0143,cs
65102,The Bat,1979-03-04,"Eisenstein gets in trouble for shooting a grouse. He is told that he must go to prison for his crime. However, his friend has invited him to an aristocratic ball. Eisenstein, despite being married, wants to go to the ball to meet women. Eisenstein lies to his wife. He tells her that he is going to prison but actually he goes to the ball. His story arises the suspicion of his wife. His wife devises a plot to catch her womanizing husband.",6.1,16,0.1787,ru
913125,Lou's Neighbour,2021-09-17,"Vladimir, 15-years-old, is secretly in love with his neighbour Lou. When Lou decides to leave her home to move in with her boyfriend – a man ten years older than her – Vladimir tries to put his jealousy aside to help her.",4.0,1,0.1071,fr
523816,Mookkilla Rajyathu Murimookkan Rajavu,1996-01-01,Three unemployed youngsters are tenants of Lohithakshan Pillai. They never pay their rent and a frustrated Pillai sells the house without telling them. Their problems get worse when a girl comes into their lives.,5.0,1,0.0764,ml
407538,Yeguas y cotorras,2012-05-19,"Delfina decides to spend with her two best friends, in her family’s manor house, her last day before getting married. In a sometimes violent, sensual or caring atmosphere, they share their doubts, their memories, their secrets, but also their bitterness. This intriguing title (literally Mares and Parrots) hides a subtle social unease within the young Buenos Aires bourgeoisie.",7.3,6,0.0503,es
649800,Michelle Wolf: Joke Show,2019-12-10,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City.",6.841,44,0.1456,en
594779,The Haunted Graduation Photo,2017-06-09,"A group of graduating students, head to a resort to celebrate. Once there, they start to encounter a series of bizarre and strange events. The first love of Su Liang, who died unexpectedly, starts to appear in visions and launches a bloody trail of vengeance on the friends. They panic and try to escape before an unsettling secret is unearthed.",3.0,1,0.0416,zh
536590,The Odyssey,1991-12-13,An Italian made for television musical comedy.,6.167,3,0.2048,it
952552,Pro Patria,1970-01-01,"This film constructs an anguished hymn to peace using pieces of movie newscasts, photographs, and monuments about those who have fallen in the Great War.",7.0,1,0.0997,hu
681975,An Exquisite Meal,2020-03-07,"A dinner party descends into sex, violence, and the absurd when one of the guests discovers something unexpected about what’s for dinner.",2.5,4,0.0453,en
18604,A Global Warning?,2007-11-11,Global warming in context. What the climate of the past tells us about the climate of the future.,4.0,1,0.0553,en
42388,Bill,1981-12-22,"Bill, an intellectually disabled man, ventures out into the world for the first time, having spent most of his life in a dreary inner city institution. He is taken in by a kind family and learns what it means to love and be loved for the first time in his life.",6.6,5,0.4427,en
103087,College Boarding House,1959-10-19,"As he shows a considerably higher interest in night life and vaudeville chorus girls than in textbooks, Gerardo Roquer is sent by his father from Madrid to the University of Santiago de Compostela, with the purpose of having him center in studying. There, Gerardo ends living in the ""Casa de la Troya"" boarding house, where he makes good friends in other students, and falls in love with the beautiful Carmiña Castro. But this love is not approved by her uncle and aunt, who prefer the foppish Octavio (with whom they have a debt) for her.",5.0,2,0.0708,en
75720,One Life,2011-07-19,"One Life captures unprecedented and beautiful sequences of animal behaviour guaranteed to bring you closer to nature than ever before, as well as a second disc packed full of never before seen extras including an exclusive making of featurette narrated by Daniel Craig.",7.4,81,0.3395,en
308279,Ormayundo Ee Mukham,2014-11-14,"Goutham is a young businessman who lives with his mother and grandmother. Goutham's mother Vasundara Devi is the head of their family business. Vasundara Devi is a strict mother; but grand motheris extremely friendly with Goutham. Apporva is Goutham's best pal.  Then enters Nithya, a sand animation artist. Goutham meets Nithya and after a series of incidents, the couple falls in love. But Nithya, who has a memory loss problem due to a major accident,can't remember anything more than a day. This problem creates obstacles in Goutham and Nithya's relationship and this forms the crux of the story.",4.9,8,0.1634,ml
535048,Las cabareteras,1980-12-04,Power-struggles between gangsters over ownership/control of a strip club.,4.5,4,0.2878,es
621978,A risky revenge,2019-11-04,,5.0,1,0.0071,ru
121693,The Hot Spot,2005-06-07,"Robbyn and her luscious band of lascivious babes plan a big heist at a party hosted by Krunch, Robbyn's ex-boyfriend turned rap star who dumped her when he hit it big. TK and Benny, a couple of gatecrashers, are the unwitting foils; this dim-witted duo just wants Krunch to hear their demo, but they just might screw up Robbyn's carefully laid plans.",3.0,1,0.2167,en
340407,Jetman Dubai : Young Feathers,2015-05-11,"We mark a new milestone in the chapter of human flight. Join Jetman Yves Rossy and his protege, Jetman Vince Reffet as they explore the limits in the city of dreams.  ""The real dream is to be completely free""",10.0,1,0.0239,en
443318,Childhood,2017-03-03,"This documentary follows a group of children in a rural kindergarten for a year, portraying a genuine learning process in the midst of nature.",6.4,5,0.4417,no
496057,Darpan Chhaya,2001-09-01,Two friends involve with same girl which eventually deteriorate their friendship.,10.0,1,0.1255,ne
328811,"Classic Cartoon Favorites, Vol. 2 - Starring Donald",2005-01-11,"Don't miss the world's most lovable cranky duck in this must-have collection of Donald's greatest cartoon shorts.  Each hilarious adventure is filled with the irresistible antics that have made Donald a fan favorite for generations.  Laugh along with ""Chef Donald"" as the irritable duck accidentally mixes rubber cement in with his waffle batter to create a very sticky situation, and catch the first appearance of Daisy Duck as Donna in the hysterical ""Don Donald.""  Get in on the fun with the cartoon collection of Donald's funniest moments - it's great entertainment for the whole family!  Over An Hour Of Fun: Inferior Decorator (1948) / Don Donald (1937) / Golden Eggs (1941) / Bee at the Beach (1950) / Donald's Dog Laundry (1940) / Donald's Vacation (1940) / Old MacDonald Duck (1941) / Chef Donald (1941)",9.3,3,0.0648,en
542067,Hydrangea,2017-08-26,"In life we often play a role, be that a parent, a spouse, an employee, etc. Writer/director Jim Cummings explores the dynamics between playing a part and being real in this short film about an idealized family.",6.9,7,0.0742,en
18169,About Last Night...,1986-07-02,"A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",6.03,220,1.0685,en
412327,Isidoro: la película,2007-07-19,"Isidoro is a lazy guy, who loves parties and casinos, but has never worked, so he lives off his father's inheritance and making his uncle suffer. But because his uncle, Colonel Cañones, is accused of a crime against the nation, Isidoro must work for the first time in his life to find the true culprit.",6.8,18,0.1547,es
42189,Kevin Hart: Seriously Funny,2010-07-20,"Fresh off the heels of appearing in movies like Superhero Movie and The 40 Year-Old Virgin, fast-talking comedian Kevin Hart stars in his second live stand-up performance in Cleveland, Ohio, where he makes fun of everything and everybody - especially himself.",7.033,166,0.4589,en
49363,Samurai Banners,1969-03-01,"Kansuke Yamamoto is a samurai who dreams of a country united, peaceful from sea to sea. He enters the service of Takeda, the lord of Kai domain. He convinces Takeda to kill the lord of neighboring Suwa and take his wife as a concubine. He then convinces the widow, Princess Yu, to accept this arrangement and to bear Takeda a son. He pledges them his life. He then spends years using treachery, poetic sensibility, military and political strategy to expand Takeda's realm, advance the claim of Yu's son as the heir, and prepare for an ultimate battle with the forces of Echigo. Has Kansuke overreached? Are his dreams, blinded by love, too big?",7.5,19,0.5491,ja
986549,The Untouchables: Production Stories,2004-10-05,"Cast and crew from ""The Untouchables"" share production stories.",6.5,2,0.1842,en
427014,El telo y la tele,1985-04-18,"A sex congress takes place in a hotel, and couples are secretely filmed in a Slivers way by the ""scientists"".",3.0,3,0.1295,es
366955,Explosion en mer,1898-02-22,,7.0,2,0.0438,fr
216677,Joomoonjin,2010-01-21,"A magical love story involving a man who lives his life like a ghost and a country girl that falls in love with him.  On a rural mountain in Jumunjin, South Korea a girl named Jina (Hwang Bo-Ra) runs a mountain lodge. The place is soon set to close down because of rumors that ghosts live in the lodge. Jina then encounters a ghost (played by Kim Ki-Bum) who she takes an interest in. But, the closer she gets to help him the further the ghost pushes her away.",6.0,3,0.14,ko
769928,"Hakata Station in Japan - Highspeed, Luxus, Hoeflichkeit",2020-11-13,,10.0,1,0.0,de
618516,Those of the Treetops and Heaven,2015-03-26,"A young boy, living in a village on a giant tree, falls into the depths of the forest where he meets two indigenous beings who will help him return home.",7.4,4,0.0453,fr
242070,Heroes of the Alamo,1937-08-07,"In early spring of 1833, the smoldering resentment of American settlers in Texas against their oppression by Mexico dictator General Santa Anna/Ana coming to a head. When a decree is issued that no more Americans may enter Texas, William H. Wharton, fiery head of a faction determined on independence or nothing, warns Stephen F. Austin that the time for half-measures is past. Austin, responsible for bringing the Americans to Texas as colonists, reminds Wharton that a settler's revolt against Mexico would dishonor his name and the arrangements he had with the Mexican government. He gets the ""Whartonites"" to agree to a general convention of all colonists. Almerian Dickinson, biggest land owner in the settlement of Gonzales, deeply in love with his wife Anne, warns Wharton that a bloody revolt would endanger every wife and mother in the colony. He proposes they send Austin to Mexico City to ask Santa Anna to grant Texans a voice in their own government.",3.5,2,0.2515,en
71316,Nutcracker: The Motion Picture,1986-11-26,"In this Pacific Northwest Ballet performance, it is Christmas Eve and festivities are underway. Clara is excited when her godfather arrives with a bag full of gifts, one of which is an intriguing wooden nutcracker. That night, while the household sleeps, Clara visits the Christmas tree to inspect her nutcracker and soon finds herself immersed in a dream world both dark and enchanting.",6.5,20,0.6104,en
48361,Golgo 13: Assignment Kowloon,1977-09-15,"Duke Togo (codename: Golgo 13) is a ruthless assassin who's accepted a tricky assignment from an American drug syndicate. His mission is to ""rub out"" Hong Kong's underworld kingpin. His main obstacle is the relentless Detective 'Smitty' Smith, determined to stop Togo no matter the cost. The result is an explosive adventure through the seamy, violent streets of Hong Kong.",5.4,24,0.7357,ja
337904,Οι Γαμπροί της Ευτυχίας,2015-01-15,"Vangelis is a traditional Cretan family man, married to Lina. Unfortunately, he can not enjoy his wife in his own house, having with them the eccentric spinster sister, Happiness.",6.1,4,0.0702,el
419019,Sleepwalk,2000-03-10,At loose ends drifter stumbles upon a struggling painter as he searches for answers under the stars and rooftops of New York.,1.0,1,0.2268,en
533666,School of the Future,2016-09-14,Researchers and educators highlight the gaps in the U.S. education system and share their visions for innovative and meaningful learning environments.,7.0,1,0.047,en
303600,"Träum’ nicht, Annette!",1949-02-04,,4.3,3,0.0586,de
355538,Ex-Cop,1993-08-12,"Pete Danberg is a good cop with a drinking problem. When the new Sheriff fires him in an effort to clean up the image of the department, Danberg refuses to give up his search until the ""Las Vegas Slasher"" is behind bars. But the slasher is paroled within a year & then sets out to make up for lost time. Hunting like a crazed animal, he uses Danberg's daughter Tess as bait to lure her father from hiding.",3.5,2,0.131,en
33733,One More Time,1970-05-01,London nightclub buddies Salt and Pepper link Pepper's dead twin to diamond smugglers.,4.3,11,0.201,en
564324,Il ragazzo che sapeva amare,1967-01-01,"Vittorio is a photographer; Roberto, the waiter; Brigitta, the operator; Pannunzio, the porter; Patty, a gold-eyed waitress. All of them live and work at the Europe Palace Hotel in Capri.",4.5,2,0.1672,it
637112,Panodrama,2019-02-23,"Tommy Robinson goes on the offensive by documenting how his own “hit piece” on his character was being constructed by the taxpayer-funded BBC for their popular investigative news special “Panorama.”  In the film he manages to capture footage of the blackmailing of his former employees to invent stories, along with an organization—known as “Hope not Hate”—on set with the BBC, intimidating ex-employees of Robinson during interviews. The host of “Panorama” at the time of filming is caught on camera casually using racist and homophobic slurs during a £220 champagne lunch with the same ex-employee they had planned to coach for a fake interview in which the BBC would possibly edit in which to make it appear as, “a gender, a sexual thing against Tommy Robinson,” according to the host.  Within 24 hours of releasing the film, social media giant Facebook made a public statement of their own and removed Tommy Robinson’s accounts permanently.",9.3,3,0.139,en
952020,Slam,2023-06-22,"Samuca is only 17 years old and discovers that his girlfriend Alicia is pregnant. The news comes to light at a not very favorable moment in Samuca's life, just when he thought everything was going very well. For having committed the same ""slam"" as his mother Melina, having a son at the same age as she had him, Samuca feels pressured. Themes such as teenage pregnancy and questions about life gain visibility and are unfolded throughout the plot.",8.0,1,0.2888,pt
506404,Chad's Dental Nightmare,2017-10-31,"Teenagers are dying in their sleep, apparently from fright, the night before they have dentist appointments. A young teen elicits the help of his older brother to help him investigate the deaths, but soon find themselves in deep peril at the hands of a mad doctor and dentist.",4.0,1,0.0143,en
90188,The Sad Life Of Gloria S.,2011-12-01,"Charlotte is a moderately successful film director who wants to make a political film, and really dive deep into the lives of socially disadvantaged women. There she makes the search for a single parent Hartz IV recipient and meets Gloria S. Gloria is her dream cast, but she doesn't know that Gloria is a real actress. Everything goes smoothly until the whole hoax blows up ...",3.5,2,0.0962,de
37109,The Shouting Men,2010-03-05,"Lowly Gillingham Football Club are drawn against Premiership giants Newcastle United in the quarter finals of the FA Cup. A small group of 'Gills' fans decide to make the most of their 'game of a lifetime' by turning the journey north into a weekend away. On the eve of departure one of the group receives a visit from Terry, a man with no legs in a wheelchair, claiming he can get them a free minibus and free diesel. In return, all they have to do is take him with them!",6.0,5,0.2419,en
153386,Sonny and Jed,1972-08-11,"As thoroughly unlikeable a robber as ever walked the West, Joe nonetheless robs from the rich and gives to the poor. Not only is he a murderous, ill-tempered sort, he is bad-mannered, too. When beautiful Sonny decides he should be her man and teach her how to be a proper outlaw, sparks fly.",5.9,11,0.3438,it
351744,Camera Phone 2,2016-04-08,"There is a package with 4 phones, and each phone has a video on it. They will then learn curiosity did kill, when their lives become a part of the terror which is ""Camera Phone 2"".",1.0,2,0.1404,en
132482,Steaming,1985-05-22,Steaming is the final film directed by Joseph Losey. It was adapted from Nell Dunn's play by Patricia Losey and Nell Dunn. It is about three women who meet regularly in a steam room and decide to fight its closure.,5.4,11,0.2951,en
649144,Empire City,1985-07-01,"A film essay contrasting the modern metropolis with its ""golden age"" from 1830-1930, with the participation of some of New York's leading political and cultural figures. Made at a time when the city was experiencing unprecedented real estate development on the one hand and unforeseen displacement of population and deterioration on the other. Empire City is the story of two New Yorks. The film explores the precarious coexistence of the service-based midtown Manhattan corporate headquarters with the peripheral New York of undereducated minorities living in increasing alienation.",9.0,1,0.3382,en
234497,Frog's Legs,1962-01-01,"Tubby enlists Little Lulu's help in catching frogs, but he doesn't tell her that he wants to sell them to a restaurant.",7.0,1,0.0071,en
383244,"Meral, My Girl",2016-02-20,"Following an accident, Meral returns to live with her traditional parents where she is confined to her bed while recuperating. Nobody confronts her condition except herself. Her little sister Asiye is her biggest supporter.",5.5,2,0.0239,de
430035,Unearthed & Untold: The Path to Pet Sematary,2017-01-13,"This documentary is a detailed look into the making of PET SEMATARY, one of the most enduring cult-horror classics of our generation.",6.7,31,0.6111,en
961614,Calling Sahasra,2023-12-01,Cyber expert Ajay joins new job but past tragedy motivates avenging crimes on women using RESQ app anonymously. Mass calls draw him into murder case amidst rescuing women.,7.0,1,0.4383,te
20098,The Wiggles: Cold Spaghetti Western,2004-03-29,"The Wiggles, in cowboy gear, visit the town fair and meet the Mariachi family.",5.0,2,0.0967,en
52961,That's Life!,1986-10-10,A wealthy architect struggles with a severe case of male menopause at the approach of his 60th birthday.,5.6,25,0.5699,en
177437,Beauty and the Breast,2012-10-05,"A first time documentary filmmaker offers a compelling insight into a devastating reality of breast cancer, as seen through the eyes of several female patients helping demystify the disease while painting poignant and often humorous intimate portraits of survival.",4.5,4,0.0702,en
646542,Coven,2020-07-14,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura.,5.058,26,0.3083,en
29364,Nossa Vida Não Cabe Num Opala,2008-08-15,The father of a family of lower middle class of São Paulo dies. But he did not realize this and starts to watch the reactions of his children and the collapse of the fragile family structure. Based on a novel of Mário Bortolotto.,5.0,3,0.067,pt
383055,The Praying Mantis,1988-01-01,"A cicada is resting high on a tree. It is chirping for all it’s worth and drinking in the dew, oblivious of a mantis behind. The mantis, bending over and arching up its front leg, is going to catch the cicada but does not know that there is an oriole beside it. The bird has stretched out its neck, ready to peck at the mantis. Again the oriole is unaware that a weasel is sneaking up to it. The three creatures all covet gains ahead without being aware of an imminent danger behind.",10.0,1,0.0652,zh
468164,The Bride of Fire,2000-02-01,"A tragedy in which a young woman from an Arab tribe, prevented from marrying her non-Arab Persian lover is forced against her wishes to marry her cousin.",5.2,4,0.0745,fa
274511,Bob Wilson's Life & Death of Marina Abramovic,2012-09-12,This hourlong semi-documentary records the musical stage collaboration between director Robert Wilson and veteran performance artist Marina Abramovic. Also included is a wealth of background material about Abramovic's life and earlier works.,6.5,4,0.1963,en
102052,Cinematic Titanic: War of the Insects,2011-12-02,"The bugs shall inherit the earth!  Or so says Annabelle, the hottest, the sexiest, and by far the craziest psycho blonde chick to hit Japan since WWII. Deeply embittered about the whole man's-inhumanity-to-man thing, she enacts a diabolical plot to unleash a swarm of mutant insects on the world that will destroy all living creatures except creepy crawlers.  Ensnared in all this madness is a philandering island-hopping bug collector and his compliant and slightly pregnant wife, a humorless doctor from the mainland, and a United States airman named Charlie, whose way of starting a conversation is to hysterically scream ""Genocide!"" and then go off his rocker like the dedicated military professional he is.  If you want to watch a story where everybody gets their nuclear holocaust on in the grand tradition of radioactive Japanese monster movies, this is the film for you!",5.5,2,0.1116,en
